id;kode_prov;nama_prov;kode_kab;id_kab;nama_kab;kode_kec;id_kec;nama_kec;kode_desa;id_desa;nama_desa;klas;kode_sls4;kode_sls6;kdsubsls;id_sls;id_sls6;nama_sls;jenis_sls
93;71;SULAWESI UTARA;1;7101;BOLAANG MONGONDOW;21;7101021;DUMOGA BARAT;8;7101021008;TORAUT UTARA;2;0006;000600;00;71010210080006;7101021008000600;RT 6 RW 6;SLS
94;71;SULAWESI UTARA;1;7101;BOLAANG MONGONDOW;21;7101021;DUMOGA BARAT;8;7101021008;TORAUT UTARA;2;0007;000700;00;71010210080007;7101021008000700;RT 7 RW 7;SLS
95;71;SULAWESI UTARA;1;7101;BOLAANG MONGONDOW;21;7101021;DUMOGA BARAT;8;7101021008;TORAUT UTARA;2;2001;200100;00;71010210082001;7101021008200100;HUTAN LINDUNG;NONSLS
96;71;SULAWESI UTARA;1;7101;BOLAANG MONGONDOW;21;7101021;DUMOGA BARAT;9;7101021009;DOLODUO I;1;0001;000100;00;71010210090001;7101021009000100;RT 1 DUSUN 1;SLS
97;71;SULAWESI UTARA;1;7101;BOLAANG MONGONDOW;21;7101021;DUMOGA BARAT;9;7101021009;DOLODUO I;1;0002;000200;00;71010210090002;7101021009000200;RT 2 DUSUN 1;SLS
98;71;SULAWESI UTARA;1;7101;BOLAANG MONGONDOW;21;7101021;DUMOGA BARAT;9;7101021009;DOLODUO I;1;0003;000300;00;71010210090003;7101021009000300;RT 3 DUSUN 2;SLS
99;71;SULAWESI UTARA;1;7101;BOLAANG MONGONDOW;21;7101021;DUMOGA BARAT;9;7101021009;DOLODUO I;1;0004;000400;00;71010210090004;7101021009000400;RT 4 DUSUN 2;SLS
100;71;SULAWESI UTARA;1;7101;BOLAANG MONGONDOW;21;7101021;DUMOGA BARAT;9;7101021009;DOLODUO I;1;0005;000500;00;71010210090005;7101021009000500;RT 5 DUSUN 3;SLS
101;71;SULAWESI UTARA;1;7101;BOLAANG MONGONDOW;21;7101021;DUMOGA BARAT;9;7101021009;DOLODUO I;1;0006;000600;00;71010210090006;7101021009000600;RT 6 DUSUN 3;SLS
102;71;SULAWESI UTARA;1;7101;BOLAANG MONGONDOW;21;7101021;DUMOGA BARAT;9;7101021009;DOLODUO I;1;0007;000700;00;71010210090007;7101021009000700;RT 7 DUSUN 4;SLS
103;71;SULAWESI UTARA;1;7101;BOLAANG MONGONDOW;21;7101021;DUMOGA BARAT;9;7101021009;DOLODUO I;1;0008;000800;00;71010210090008;7101021009000800;RT 8 DUSUN 4;SLS
104;71;SULAWESI UTARA;1;7101;BOLAANG MONGONDOW;21;7101021;DUMOGA BARAT;9;7101021009;DOLODUO I;1;1001;100100;00;71010210091001;7101021009100100;KEBUN KELAPA;NONSLS
105;71;SULAWESI UTARA;1;7101;BOLAANG MONGONDOW;21;7101021;DUMOGA BARAT;9;7101021009;DOLODUO I;1;1002;100200;00;71010210091002;7101021009100200;KEBUN JAGUNG;NONSLS
106;71;SULAWESI UTARA;1;7101;BOLAANG MONGONDOW;21;7101021;DUMOGA BARAT;10;7101021010;DOLODUO II;2;0001;000100;00;71010210100001;7101021010000100;RT 1 DUSUN 1;SLS
107;71;SULAWESI UTARA;1;7101;BOLAANG MONGONDOW;21;7101021;DUMOGA BARAT;10;7101021010;DOLODUO II;2;0002;000200;00;71010210100002;7101021010000200;RT 2 DUSUN 2;SLS
108;71;SULAWESI UTARA;1;7101;BOLAANG MONGONDOW;21;7101021;DUMOGA BARAT;10;7101021010;DOLODUO II;2;0003;000300;00;71010210100003;7101021010000300;RT 3 DUSUN 3;SLS
109;71;SULAWESI UTARA;1;7101;BOLAANG MONGONDOW;21;7101021;DUMOGA BARAT;10;7101021010;DOLODUO II;2;0004;000400;00;71010210100004;7101021010000400;RT 4 DUSUN 4;SLS
110;71;SULAWESI UTARA;1;7101;BOLAANG MONGONDOW;21;7101021;DUMOGA BARAT;10;7101021010;DOLODUO II;2;1001;100100;00;71010210101001;7101021010100100;PERSAWAHAN;NONSLS
111;71;SULAWESI UTARA;1;7101;BOLAANG MONGONDOW;21;7101021;DUMOGA BARAT;10;7101021010;DOLODUO II;2;1002;100200;00;71010210101002;7101021010100200;KEBUN JAGUNG;NONSLS
112;71;SULAWESI UTARA;1;7101;BOLAANG MONGONDOW;21;7101021;DUMOGA BARAT;11;7101021011;DOLODUO III;2;0001;000100;00;71010210110001;7101021011000100;RT 1 DUSUN 1;SLS
113;71;SULAWESI UTARA;1;7101;BOLAANG MONGONDOW;21;7101021;DUMOGA BARAT;11;7101021011;DOLODUO III;2;0002;000200;00;71010210110002;7101021011000200;RT 2 DUSUN 1;SLS
